location,sex,age,cause,metric,year,val,upper,lower
Peru,Female,<1 year,All causes,Number,2010,5284.539712,5917.852819,4697.189971
Peru,Both,<1 year,All causes,Number,2010,12535.95288,13998.37549,11177.11621
Peru,Male,80 to 84,All causes,Number,2010,7823.28532,8421.472826,7264.848172
Peru,Female,80 to 84,All causes,Number,2010,7484.061073,8093.601841,6900.439285
Peru,Both,80 to 84,All causes,Number,2010,15307.34639,16127.50583,14501.34998
Peru,Male,85 to 89,All causes,Number,2010,6385.547447,6800.870633,5996.71489
Peru,Female,85 to 89,All causes,Number,2010,6825.251102,7305.059487,6368.443576
Peru,Both,85 to 89,All causes,Number,2010,13210.79855,13818.08592,12609.14172
Peru,Male,90 to 94,All causes,Number,2010,3586.088184,3775.584663,3406.781285
Peru,Female,90 to 94,All causes,Number,2010,4618.567464,4887.166159,4361.241746
Peru,Both,90 to 94,All causes,Number,2010,8204.655648,8521.837986,7885.972955
Peru,Male,<20 years,All causes,Number,2010,11421.60973,12525.64694,10402.81702
Peru,Female,<20 years,All causes,Number,2010,8323.930154,9131.668861,7568.305319
Peru,Both,<20 years,All causes,Number,2010,19745.53988,21609.81153,17962.0871
Peru,Male,10 to 24,All causes,Number,2010,3584.389218,3880.38247,3305.982896
Peru,Female,10 to 24,All causes,Number,2010,2137.492284,2310.89987,1968.769375
Peru,Both,10 to 24,All causes,Number,2010,5721.881502,6070.545049,5382.506014
Peru,Male,10 to 54,All causes,Number,2010,17855.27669,19608.98229,16264.46192
Peru,Female,10 to 54,All causes,Number,2010,11567.51321,12732.97664,10464.11519
Peru,Both,10 to 54,All causes,Number,2010,29422.78989,31374.65296,27482.92706
Peru,Male,95 plus,All causes,Number,2010,1790.375774,1877.566331,1706.886031
Peru,Female,95 plus,All causes,Number,2010,2443.617934,2573.321113,2314.397013
Peru,Both,95 plus,All causes,Number,2010,4233.993709,4386.987547,4080.085908
Peru,Male,<70 years,All causes,Number,2010,40698.74954,43573.47872,37827.1256
Peru,Female,<70 years,All causes,Number,2010,29370.66179,31603.80436,27139.51885
Peru,Both,<70 years,All causes,Number,2010,70069.41134,73980.32889,66258.4113
Peru,Male,Under 5,All causes,Number,2009,8983.471167,10062.48945,8115.876523
Peru,Female,Under 5,All causes,Number,2009,6637.178606,7381.178659,5986.452434
Peru,Both,Under 5,All causes,Number,2009,15620.64977,17443.52559,14124.73547
Peru,Male,Early Neonatal,All causes,Number,2009,3536.923807,4055.254516,3054.169004
Peru,Female,Early Neonatal,All causes,Number,2009,2335.539269,2661.669125,2047.950611
Peru,Both,Early Neonatal,All causes,Number,2009,5872.463076,6693.964659,5135.447824
Peru,Male,Late Neonatal,All causes,Number,2009,626.4942859,771.1124581,500.1559859
Peru,Female,Late Neonatal,All causes,Number,2009,698.2595551,843.5810018,581.3500772
Peru,Both,Late Neonatal,All causes,Number,2009,1324.753841,1552.598629,1130.17831
Peru,Male,Post Neonatal,All causes,Number,2009,3187.221112,3736.88851,2714.067115
Peru,Female,Post Neonatal,All causes,Number,2009,2240.795497,2640.468058,1884.116982
Peru,Both,Post Neonatal,All causes,Number,2009,5428.016608,6377.161415,4602.688096
Peru,Male,1 to 4,All causes,Number,2009,1632.831963,1997.109042,1316.41281
Peru,Female,1 to 4,All causes,Number,2009,1362.584285,1663.056707,1100.895686
Peru,Both,1 to 4,All causes,Number,2009,2995.416248,3648.713702,2419.128074
Peru,Male,5 to 9,All causes,Number,2009,775.3369587,838.3638991,718.8045823
Peru,Female,5 to 9,All causes,Number,2009,545.0846432,588.6900236,507.7322754
Peru,Both,5 to 9,All causes,Number,2009,1320.421602,1429.274847,1227.62237
Peru,Male,10 to 14,All causes,Number,2009,722.424472,764.2276249,682.9379038
Peru,Female,10 to 14,All causes,Number,2009,515.333102,546.8135422,483.1295541
Peru,Both,10 to 14,All causes,Number,2009,1237.757574,1302.618058,1178.150488
Peru,Male,15 to 19,All causes,Number,2009,1178.59711,1281.431151,1080.894877
Peru,Female,15 to 19,All causes,Number,2009,778.2581924,840.5967666,715.90015
Peru,Both,15 to 19,All causes,Number,2009,1956.855302,2077.404697,1842.572462
Peru,Male,20 to 24,All causes,Number,2009,1748.98516,1898.095684,1603.592708
Peru,Female,20 to 24,All causes,Number,2009,887.4755765,965.6731551,809.7359249
Peru,Both,20 to 24,All causes,Number,2009,2636.460736,2804.432183,2467.260847
Peru,Male,25 to 29,All causes,Number,2009,1938.608498,2094.561976,1784.440011
Peru,Female,25 to 29,All causes,Number,2009,899.6851278,983.9440999,817.2148399
Peru,Both,25 to 29,All causes,Number,2009,2838.293626,3014.709229,2661.752304
Peru,Male,30 to 34,All causes,Number,2009,2003.163118,2167.271793,1841.160054
Peru,Female,30 to 34,All causes,Number,2009,1026.690204,1123.982622,931.5718625
Peru,Both,30 to 34,All causes,Number,2009,3029.853322,3219.924325,2838.021575
Peru,Male,35 to 39,All causes,Number,2009,2116.076176,2307.428901,1930.623003
Peru,Female,35 to 39,All causes,Number,2009,1339.251654,1485.153174,1197.862267
Peru,Both,35 to 39,All causes,Number,2009,3455.32783,3696.314927,3218.502933
Peru,Male,40 to 44,All causes,Number,2009,2286.900882,2501.197367,2079.311211
Peru,Female,40 to 44,All causes,Number,2009,1635.012845,1800.786005,1473.370893
Peru,Both,40 to 44,All causes,Number,2009,3921.913728,4193.139523,3656.629585
Peru,Male,45 to 49,All causes,Number,2009,2739.270237,3000.884287,2485.909845
Peru,Female,45 to 49,All causes,Number,2009,1986.392839,2173.998585,1802.35755
Peru,Both,45 to 49,All causes,Number,2009,4725.663076,5049.47752,4405.962672
Peru,Male,50 to 54,All causes,Number,2009,3093.347916,3382.595529,2812.770794
Peru,Female,50 to 54,All causes,Number,2009,2522.794575,2749.951925,2299.067637
Peru,Both,50 to 54,All causes,Number,2009,5616.142491,5983.792662,5256.419476
Peru,Male,55 to 59,All causes,Number,2009,3574.883218,3892.570993,3265.842349
Peru,Female,55 to 59,All causes,Number,2009,2941.834799,3200.913534,2686.250547
Peru,Both,55 to 59,All causes,Number,2009,6516.718017,6926.021016,6111.699429
Peru,Male,60 to 64,All causes,Number,2009,4328.934407,4685.694268,3980.815273
Peru,Female,60 to 64,All causes,Number,2009,3470.731424,3767.582198,3177.717266
Peru,Both,60 to 64,All causes,Number,2009,7799.665831,8263.573257,7338.830403
Peru,Male,65 to 69,All causes,Number,2009,5046.697858,5455.505298,4647.497707
Peru,Female,65 to 69,All causes,Number,2009,4119.860592,4479.851256,3764.860847
Peru,Both,65 to 69,All causes,Number,2009,9166.55845,9713.006998,8630.716155
Peru,Male,70 to 74,All causes,Number,2009,6311.422663,6821.417079,5813.440876
Peru,Female,70 to 74,All causes,Number,2009,5236.589197,5707.91338,4772.219765
Peru,Both,70 to 74,All causes,Number,2009,11548.01186,12245.18036,10866.50907
Peru,Male,75 to 79,All causes,Number,2009,7415.161737,7999.346448,6845.002331
Peru,Female,75 to 79,All causes,Number,2009,6490.844058,7061.523988,5927.255984
Peru,Both,75 to 79,All causes,Number,2009,13906.00579,14726.20156,13101.43703
Peru,Male,80 plus,All causes,Number,2009,18272.3956,19355.89587,17205.00632
Peru,Female,80 plus,All causes,Number,2009,20101.37326,21430.37381,18781.70563
Peru,Both,80 plus,All causes,Number,2009,38373.76886,40087.56487,36693.96067
Peru,Male,All Ages,All causes,Number,2009,72535.67718,77450.41539,67714.81335
Peru,Female,All Ages,All causes,Number,2009,61134.39069,65496.20268,56856.08896
Peru,Both,All Ages,All causes,Number,2009,133670.0679,140166.456,127247.1565
Peru,Male,5-14 years,All causes,Number,2009,1497.761431,1596.334413,1406.86398
Peru,Female,5-14 years,All causes,Number,2009,1060.417745,1130.613779,1000.183629
Peru,Both,5-14 years,All causes,Number,2009,2558.179176,2721.686131,2415.041665
Peru,Male,15-49 years,All causes,Number,2009,14011.60118,15247.90903,12791.70199
Peru,Female,15-49 years,All causes,Number,2009,8552.766438,9365.650684,7746.565856
Peru,Both,15-49 years,All causes,Number,2009,22564.36762,24067.80631,21076.95428
Peru,Male,50-69 years,All causes,Number,2009,16043.8634,17416.38522,14706.92612
Peru,Female,50-69 years,All causes,Number,2009,13055.22139,14198.29891,11927.8963
Peru,Both,50-69 years,All causes,Number,2009,29099.08479,30884.87671,27329.30232
Peru,Male,70+ years,All causes,Number,2009,31998.98,34181.45762,29864.20456
Peru,Female,70+ years,All causes,Number,2009,31828.80651,34197.71326,29481.15276
Peru,Both,70+ years,All causes,Number,2009,63827.78651,67033.0301,60678.44713
Peru,Male,<1 year,All causes,Number,2009,7350.639204,8236.320942,6567.262722
Peru,Female,<1 year,All causes,Number,2009,5274.594321,5908.308064,4689.565722
Peru,Both,<1 year,All causes,Number,2009,12625.23353,14151.20632,11279.23943
Peru,Male,80 to 84,All causes,Number,2009,7382.934297,7888.951979,6887.536555
Peru,Female,80 to 84,All causes,Number,2009,7092.544256,7638.989815,6550.020262
Peru,Both,80 to 84,All causes,Number,2009,14475.47855,15214.03596,13746.48227
Peru,Male,85 to 89,All causes,Number,2009,6009.327455,6360.383126,5661.411418
Peru,Female,85 to 89,All causes,Number,2009,6481.442284,6913.127847,6056.866387
Peru,Both,85 to 89,All causes,Number,2009,12490.76974,13043.67843,11948.00589
Peru,Male,90 to 94,All causes,Number,2009,3283.525303,3439.316527,3129.059322
Peru,Female,90 to 94,All causes,Number,2009,4317.059058,4557.863856,4079.992024
Peru,Both,90 to 94,All causes,Number,2009,7600.584361,7886.266053,7322.100491
Peru,Male,<20 years,All causes,Number,2009,11659.82971,12859.56719,10705.41082
Peru,Female,<20 years,All causes,Number,2009,8475.854543,9318.936553,7729.323344
Peru,Both,<20 years,All causes,Number,2009,20135.68425,22156.0051,18508.02261
Peru,Male,10 to 24,All causes,Number,2009,3650.006741,3936.812417,3379.091036
Peru,Female,10 to 24,All causes,Number,2009,2181.066871,2345.317118,2009.614664
Peru,Both,10 to 24,All causes,Number,2009,5831.073612,6160.729091,5512.056916
Peru,Male,10 to 54,All causes,Number,2009,17827.37357,19371.77502,16316.58995
Peru,Female,10 to 54,All causes,Number,2009,11590.89412,12655.02455,10538.51452
Peru,Both,10 to 54,All causes,Number,2009,29418.26768,31329.1731,27546.51621
Peru,Male,95 plus,All causes,Number,2009,1596.608547,1666.826396,1526.511626
Peru,Female,95 plus,All causes,Number,2009,2210.32766,2323.180064,2094.448327
Peru,Both,95 plus,All causes,Number,2009,3806.936207,3938.212231,3676.887128
Peru,Male,<70 years,All causes,Number,2009,40536.69718,43508.41452,37760.42166
Peru,Female,<70 years,All causes,Number,2009,29305.58418,31358.95853,27192.06365
Peru,Both,<70 years,All causes,Number,2009,69842.28136,73630.1451,66269.9122
Peru,Male,Under 5,All causes,Number,2008,8994.172223,10049.32155,8122.735558
Peru,Female,Under 5,All causes,Number,2008,6676.912801,7438.711644,6055.473007
